id,meta_title,meta_description,meta_keys,slug,title,image,logo,categories,advantages,colors,sizes,sizes_image,short_description,video_url,price,is_active,ordering,quantity
5,Dunlop Purofort FieldPRO,,,dunlop-snugboot-wildlander,Dunlop Purofort FieldPRO,item/Dunlop_Purofort_FieldPRO_96dpi_1024x1024px_E_NR-2394.JPG,,2,"1,2,3,7,9,10,11,12,14,15",,,,"DUNLOP PUROFORT FIELDPRO
Захисні гумові чоботи DUNLOP PUROFORT FieldPRO виготовлені з мікропінополіуритану. Purofort® – це унікальний матеріал із мільйонами повітряних кишень, рівномірно розподілених під високим тиском. У гумових чобіт маслостійка підошва з гарним зчепленням. Підходять для носіння за температури до -20 °С. Клас CI (із ізоляцією холоду); Клас CR (із захистом від порізів); Клас SRC (SRA + SRB - нековзна підошва на керамічній плитці, змащеній лаурилсульфатом натрію, та металевій підлозі, змащеній гліцерином)",,3280,1,12,100
12,Dunlop Pricemastor Black,,,dunlop-snugboot-trailblazer,Dunlop Pricemastor Black,item/Dunlop_Pricemastor_1024x1024px_E_NR-15.JPG,,2,"1,2,7,11,14",,,,"DUNLOP® PRICEMASTOR – найбюджетніші чоботи в лінійці захисного водонепроникного взуття від всесвітньо відомого виробника автомобільних шин DUNLOP®.



На відміну від конкурентів на ринку ПВХ-взуття, чоботи виготовлені з додаванням нітрильного каучуку, що забезпечує їм максимальний термін служби, гнучкість та еластичність. Безшовна підкладка, що має антибактеріальні властивості, запобігає появі неприємних запахів та гарантує високий рівень комфорту навіть при щоденному носінні. Недороге практичне взуття - Ваш незамінний ""супутник"" на незабродній рибалці, в лісі або на дачі.



особливості:

100% водонепроникність
Зручна посадка на нозі та еластична халява
Технологія Comfort Fit для щоденного комфорту
Антибактеріальна безшовна підкладка
Технічні характеристики:

стійкість до холоду: до 0°C
рівень хімічного захисту: 1
нафто- та маслостійкість: ні
енергопоглинання: ні
стандарт безпеки: CE",,739,1,13,100
15,Dunlop Pricemastor Green,,,dunlop-purofort-fieldpro-1,Dunlop Pricemastor Green,item/Dunlop_Pricemastor_1024x1024px_E_NR-16_3sH28bZ.JPG,,2,"1,2,7,11,14",,,,"DUNLOP® PRICEMASTOR – найбюджетніші чоботи в лінійці захисного водонепроникного взуття від всесвітньо відомого виробника автомобільних шин DUNLOP®.



На відміну від конкурентів на ринку ПВХ-взуття, чоботи виготовлені з додаванням нітрильного каучуку, що забезпечує їм максимальний термін служби, гнучкість та еластичність. Безшовна підкладка, що має антибактеріальні властивості, запобігає появі неприємних запахів та гарантує високий рівень комфорту навіть при щоденному носінні. Недороге практичне взуття - Ваш незамінний ""супутник"" на незабродній рибалці, в лісі або на дачі.



особливості:

100% водонепроникність
Зручна посадка на нозі та еластична халява
Технологія Comfort Fit для щоденного комфорту
Антибактеріальна безшовна підкладка
Технічні характеристики:

стійкість до холоду: до 0°C
рівень хімічного захисту: 1
нафто- та маслостійкість: ні
енергопоглинання: ні
стандарт безпеки: CE",,739,1,14,100
10,DUNLOP SNUGBOOT WILDLANDER,,,dunlop-blizzard,DUNLOP SNUGBOOT WILDLANDER,item/Dunlop_Snugboot_Wildlander_OD60B93__96dpi_1024x1024px_E_NR-1583.JPG,,5,"1,2,7,11,14",,,,,,7426,1,15,100
3,Dunlop Snugboot Trailblazer,,,dunlop-purofort-foodpro-multigrip-calf-safety,Dunlop Snugboot Trailblazer,item/Dunlop_Snugboot_Trailblazer_OD60B93.CH_96dpi_1024x1024px_E_NR-2211.JPG,,5,"1,2,7,11,14,15",,,,,,6682,1,16,100
17,Dunlop Purofort FieldPRO,,,dunlop-acifort-classic,Dunlop Purofort FieldPRO,item/Dunlop_Purofort_FieldPRO_96dpi_1024x1024px_E_NR-2394_4KoxLbk.JPG,,7,"1,2,3,7,9,10,11,12,14,15",,,,"DUNLOP PUROFORT FIELDPRO Захисні гумові чоботи DUNLOP PUROFORT FieldPRO виготовлені з мікропінополіуритану. Purofort® – це унікальний матеріал із мільйонами повітряних кишень, рівномірно розподілених під високим тиском. У гумових чобіт маслостійка підошва з гарним зчепленням. Підходять для носіння за температури до -20 °С. Клас CI (із ізоляцією холоду); Клас CR (із захистом від порізів); Клас SRC (SRA + SRB - нековзна підошва на керамічній плитці, змащеній лаурилсульфатом натрію, та металевій підлозі, змащеній гліцерином)",,3280,1,17,100
16,Dunlop Blizzard,,,dunlop-pricemastor-food,Dunlop Blizzard,item/Dunlop_Blizzard_Fur_Lining_1024x1024px_E_NR-98_xE8lgoh.JPG,,7,"1,2,7,9,11,14",,,,"Зимове взуття для будь-яких холодів. 
• Зручна зимова хутряна підкладка аж до -15°C
• Водонепроникна захисна шнурівка.",,2417,1,18,100
18,Dunlop Purofort FoodPro MultiGrip calf safety,,,dunlop-kids-blizzard-pink,Dunlop Purofort FoodPro MultiGrip calf safety,item/Dunlop_Purofort_FoodPro_MultiGrip_safety_calf_96dpi_1024x1024px_E_NR-1876.JPG,,3,"1,2,3,6,7,9,10,11,12,13,14","1,2","1,2,3",,"Захисні гумові чоботи Dunlop Food Pro виготовлені з інноваційного матеріалу по технології Purofort з унікальними якостями - малою вагою і з чудовими ізоляційними властивостями. Відрізняються великим терміном служби, еластичність навіть при низьких температурах (до -20°С) і стійкістю до мінеральних, рослинних, тваринних жирів, мастил, добрив, кислот, різних дезінфікуючих засобів та хімічних речовин.",,1893,1,19,100
19,Dunlop Acifort Classic+,,,dunlop-kids-blizzard-blue,Dunlop Acifort Classic+,item/Dunlop_Acifort_Classic__1024x1024px_E_NR-24.JPG,,3,"1,2,3,7,10,11,12,13,14",,,,"Чоботи Dunlop Acifort Classic+ це Відмінна безпека та гігієна для всіх.
- Гладка поверхня для легкого очищення
- Підошва з рейтингом SRC для відмінного зчеплення
- Найкращий опір ковзанню в галузі",,1893,1,20,100
20,Dunlop Pricemastor Food,,,dunlop-kids-blizzard-camouflage,Dunlop Pricemastor Food,item/Dunlop_Pricemastor_1024x1024px_E_NR-14.JPG,,3,"1,2,7,11,14",,,,"Забезпечує стійкість до мінералів, тваринних і рослинних олій і жирів, крові, дезінфікуючих засобів, добрив та інших різних хімікатів. Ідеальний черевик для тимчасових працівників або для тих, хто працює в місцях з низьким ризиком послизнутися. Практичні чоботи за доступною ціною для менш складних умов. Стійкість до холоду: до 0°C",,978,1,21,100
21,Dunlop Kids Blizzard Pink,,,,Dunlop Kids Blizzard Pink,item/Dunlop_Kids_Blizzard_1024x1024px_E_NR-94.JPG,,4,"1,7,9,11,15",,,,Ідеальний зручний черевик для теплих маленьких ніжок. • Екстра рельєфний профіль підошви для відмінного зчеплення. • З хутряною підкладкою для додаткового тепла та комфорту • Водонепроникна захисна шнурівка.,,1689,1,22,100
22,Dunlop Kids Blizzard Blue,,,,Dunlop Kids Blizzard Blue,item/Dunlop_Kids_Blizzard_1024x1024px_E_NR-93.JPG,,4,"1,7,9,11,15",,,,Ідеальний зручний черевик для теплих маленьких ніжок. • Екстра рельєфний профіль підошви для відмінного зчеплення. • З хутряною підкладкою для додаткового тепла та комфорту • Водонепроникна захисна шнурівка.,,1689,1,23,100
23,Dunlop Kids Blizzard Camouflage,,,,Dunlop Kids Blizzard Camouflage,item/Dunlop_Kids_Blizzard_Camouflage_96dpi_1024x1024px_E_NR-1556.JPG,,4,"1,7,9,11,15",,,,Ідеальний зручний черевик для теплих маленьких ніжок. • Екстра рельєфний профіль підошви для відмінного зчеплення. • З хутряною підкладкою для додаткового тепла та комфорту • Водонепроникна захисна шнурівка.,,1689,1,24,100
28,Dunlop Устілка Comfort,,,,Dunlop Устілка Comfort,item/product-Ustilka-dlya-vzuttya-Premium-Insole-r.jpg,,8,,,,,"Dunlop Comfort Insole Z920005 - відмінна підтримка та зручне використання черевика

• Поглинання енергії п'ятою для зменшення втоми
• Підтримка склепіння стопи, п'яти та плюсневої кістки для зниження втоми
• Поліпшена циркуляція повітря
• Устілка не деформується при надіванні та зніманні
• Ця устілка на 30% стійкіша до запахів, ніж інші устілки.

Для створення моделі устілки Comfort Insole використано поліуретан, який є спіненим полімером.

За рахунок використання даного матеріалу виріб відрізняється легкістю та низькою щільністю, практично не додає взуття ваги. Поліуретанова структура устілки забезпечує високу зносостійкість.

Розроблено Dunlop - виготовлено в Нідерландах.",,670,1,25,100
27,Dunlop Устілка Foodpro,,,,Dunlop Устілка Foodpro,item/Dunlop_FoodPro_Insole_Z930005_96dpi_1024x1024px_E_NR-1547.JPG,,8,,,,,"Dunlop Foodpro Insole Z930005 - відмінна підтримка та зручне використання черевика

• Поглинання енергії п'ятою для зменшення втоми
• Поглинає втричі більше вологи, ніж власна вага
• Протистоять появі запаху
• Устілка не деформується при надяганні та зніманні.

Для створення моделі устілки Foodpro Insole використано поліуретан, який є спіненим полімером.

За рахунок використання даного матеріалу виріб відрізняється легкістю та низькою щільністю, практично не додає взуття ваги. Поліуретанова структура устілки забезпечує високу зносостійкість.

Розроблено Dunlop - виготовлено в Нідерландах.",,310,1,26,100
